//=========================================================================================
//=============================== Swamp of Calmness Event =================================
//=========================================================================================
//* Each player needs to kill 50 monsters to get to the 'BOSS' portal
//* NonBoss monsters will respawn continuously throughout the event
//* Bosses maximum ammount = 255 after that GS will not load any more
//* The entire 'BOSS' portal is comunal and counts the kills by all
//* Monsters in 'BOSS' portal will not respawn, once all dead, event will END
//=========================================================================================
//Room 0 | Warp | Fire Land
//Room 1 | Warp | Destroyed Castle
//Room 2 | Warp | Grave Yard
//Room 3 | Warp | Tree Land
//=========================================================================================
//Mob	CordX	CordY	Boss	Quant	
1
441	70	172	0	9	
441	70	240	0	8
444	70	200	0	7
444	70	240	0	6
441	85	220	0	8
441	86	221	0	7
442	85	220	0	6
442	86	221	0	5
442	56	231	0	11	
442	7	231	0	10	
444	56	231	0	9	
444	7	231	0	8	
442	45	202	0	7	
442	45	230	0	6	
447	45	202	0	7	
447	45	230	0	6	
445	15	222	0	7	
445	27	192	0	6	
443	15	222	0	6	
443	27	192	0	5	
448	15	222	0	6	
448	27	192	0	5	
443	40	183	0	7	
443	7	183	0	6	
446	40	183	0	7	
446	7	183	0	6	
449	40	183	0	9	
449	7	183	0	8
	
441	203	15	0	7
441	203	15	0	6	
444	203	12	0	8	
444	238	11	0	7	
443	236	16	0	6	
443	223	32	0	5	
445	228	13	0	7	
445	203	37	0	6	
442	215	31	0	9	
442	204	47	0	8	
448	210	48	0	6	
448	236	51	0	5	
444	237	47	0	7	
444	237	47	0	6	
443	236	55	0	8	
443	234	91	0	7	
445	221	89	0	6	
445	214	78	0	6
	
441	190	192	0	7	
441	204	201	0	6	
448	223	215	0	6	
448	225	214	0	6	
446	223	215	0	5	
446	225	214	0	5	
449	203	236	0	6	
449	195	223	0	5	
446	223	91	0	6	
446	222	179	0	6	
441	223	91	0	11	
441	222	179	0	10	
443	179	222	0	6	
443	169	216	0	6	
444	179	222	0	9	
444	169	216	0	8	
445	214	176	0	11	
445	219	170	0	10	
442	214	176	0	6	
442	219	170	0	6	
442	212	233	0	6	
442	230	233	0	6	
445	212	233	0	9	
445	230	233	0	8	
441	229	176	0	6	
441	230	172	0	5	
447	230	191	0	6	
447	237	210	0	5	
446	235	235	0	6	
446	238	232	0	4	
448	235	235	0	7	
448	238	232	0	6


557	64	45	1	6	
557	65	46	1	7	
560	64	45	1	6	
560	65	46	1	7	
558	26	43	1	6	
558	39	43	1	7	
557	26	43	1	6	
557	39	43	1	7	
560	22	52	1	6	
560	35	52	1	7	
559	30	52	1	6	
559	40	52	1	7	
557	10	53	1	6	
557	9	17	1	7	
558	22	23	1	6	
558	40	23	1	7	
559	41	38	1	6	
559	41	12	1	7	
560	54	31	1	6	
560	54	9	1	7	
559	62	16	1	6	
559	71	14	1	7	
557	68	23	1	6	
557	65	24	1	7	
558	65	6	1	6	
558	66	7	1	7	
560	22	33	1	6	
560	23	34	1	7	
558	12	11	1	6	
558	28	11	1	7	
559	28	8	1	6	
559	29	9	1	6	
561	11	17	1	3	//Medusa
end

