1
//Type	Index	Price
0	0	170
0	1	100
0	2	240
0	3	420
0	4	300
0	5	830
0	6	500
0	7	580
0	8	700
0	9	780
0	10	1080
0	11	1280
0	12	1710
0	13	1040
0	14	1260
0	15	1450
0	16	1720
0	17	2810
0	18	3080
0	19	2500
0	20	2220
0	21	2570
0	22	2570
0	23	2820
0	24	4000
0	25	2450
0	26	2410
0	27	1900
0	28	2200
0	31	2340
0	100	3790
0	101	2400
0	102	3900
0	103	2750
0	104	3160
0	105	3070
0	106	3700
0	107	4750
0	108	5200
0	109	2400
0	110	2690
0	111	3410
0	112	2570
0	113	1950
0	114	2500
0	115	3810
0	116	3450
0	117	4020
0	118	3900
0	119	2130
0	120	3390
0	121	5100
0	122	3050
0	123	2910
0	124	3540
0	125	3670
0	126	4190
0	127	3320
0	128	2240
0	129	3680
0	130	2030
0	131	4680
0	132	3980
0	133	3500
0	134	3560
0	135	3790
1	0	70
1	1	130
1	2	380
1	3	460
1	4	640
1	5	800
1	6	880
1	7	1210
1	8	1580
1	100	1800
1	101	1690
1	102	1430
1	103	1900
1	104	1810
2	0	200
2	1	350
2	2	540
2	3	1010
2	4	1850
2	5	2090
2	6	2320
2	7	1420
2	8	930
2	9	1250
2	10	1590
2	11	1930
2	12	2280
2	13	2630
2	14	2830
2	15	2100
2	16	2520
2	17	2460
2	18	2360
2	100	2290
2	101	2640
2	102	3130
2	103	2110
2	104	1530
2	105	2700
2	106	2240
2	107	2880
2	108	2480
2	109	1870
2	110	2720
2	111	2450
3	0	1130
3	1	710
3	2	540
3	3	780
3	4	1380
3	5	500
3	6	600
3	7	960
3	8	1630
3	9	1780
3	10	2520
3	11	4160
3	100	4080
3	101	2560
3	102	1260
3	103	3960
3	104	4680
3	105	2880
3	106	3680
3	107	2890
3	108	3600
4	0	80
4	1	220
4	2	410
4	3	650
4	4	940
4	5	1300
4	6	1940
4	7	0
4	8	130
4	9	320
4	10	520
4	11	790
4	12	1110
4	13	1500
4	14	1700
4	15	0
4	16	2290
4	17	2820
4	18	3100
4	19	3220
4	20	3560
4	21	3770
4	22	3320
4	23	3460
4	24	3640
4	100	4320
4	101	3880
4	102	3130
4	103	3350
4	104	3840
4	105	3960
5	0	125
5	1	410
5	2	685
5	3	930
5	4	1175
5	5	1185
5	6	1420
5	7	1885
5	8	2035
5	9	1850
5	10	2130
5	11	2230
5	12	2650
5	13	2320
5	14	685
5	15	930
5	16	1185
5	17	1530
5	18	1850
5	19	2170
5	20	2265
5	21	690
5	22	885
5	23	1080
5	30	2470
5	31	2450
5	32	2775
5	33	2420
5	34	2690
5	100	2705
5	101	2820
5	102	2670
5	103	2715
5	104	2715
5	105	2535
5	106	2820
5	107	2310
5	108	2685
6	0	100
6	1	300
6	2	400
6	3	800
6	4	200
6	5	1000
6	6	500
6	7	900
6	8	1100
6	9	800
6	10	600
6	11	1200
6	12	1300
6	13	1400
6	14	700
6	15	1200
6	16	1100
6	17	1900
6	18	2000
6	19	1400
6	20	1200
6	21	1600
6	100	2000
6	101	1500
6	102	2500
6	103	3000
6	104	2400
6	105	3000
7	0	475
7	1	1210
7	2	220
7	3	920
7	4	470
7	5	275
7	6	625
7	7	670
7	8	860
7	9	1010
7	10	225
7	11	425
7	12	625
7	13	825
7	14	1175
7	16	1510
7	17	2170
7	18	1390
7	19	1900
7	21	2670
7	22	1840
7	24	2350
7	25	1015
7	26	1215
7	27	1315
7	28	1715
7	29	3320
7	30	2440
7	31	2900
7	33	2315
7	34	1360
7	35	1120
7	36	1525
7	38	1515
7	39	670
7	40	920
7	41	1220
7	42	1640
7	43	2190
7	44	2540
7	45	3160
7	46	2560
7	49	2525
7	50	2225
7	51	2215
7	52	2070
7	53	4060
7	100	2120
7	104	2320
7	107	2620
7	111	2670
7	101	2610
7	103	2910
7	106	3160
7	108	3410
7	102	1965
7	105	2065
7	109	2215
7	110	2365
7	114	2920
7	119	3460
7	112	2415
7	118	2315
7	113	2070
7	120	2320
7	137	2470
7	115	1375
7	116	1125
7	117	1075
7	121	1275
7	134	1625
7	122	3720
7	123	3110
7	124	4065
7	125	3320
7	126	4115
7	127	4660
7	128	4010
7	129	3820
7	130	4710
7	131	3860
7	132	3820
7	133	3170
7	135	4910
7	136	5760
7	138	2765
7	140	2860
7	141	4860
7	143	4160
7	144	4225
7	145	2885
7	146	4860
7	147	3920
7	148	3725
7	149	4025
7	150	4320
7	151	4220
7	152	2760
7	153	3885
7	154	2985
7	155	3370
7	156	2885
7	157	4310
7	158	2965
7	159	3260
7	160	2930
7	161	4410
7	162	2830
7	163	3070
7	164	2780
7	165	4220
7	166	4660
7	167	2625
7	168	4670
7	169	2770
7	170	3160
7	171	2335
7	173	3475
7	174	3170
7	175	3715
7	176	3020
7	177	5110
7	178	3525
7	179	3870
7	180	3820
7	181	3510
7	182	3215
7	183	2820
7	184	3520
7	185	3295
7	186	2965
7	189	3570
7	190	3820
7	191	5270
7	192	2720
7	193	3325
7	194	3975
7	195	3870
7	196	3135
7	197	2985
7	199	985
7	200	1085
7	202	1835
7	203	3875		
8	0	735
8	1	1870
8	2	380
8	3	1130
8	4	680
8	5	535
8	6	935
8	7	880
8	8	1120
8	9	1520
8	10	425
8	11	625
8	12	825
8	13	1075
8	14	1475
8	15	2210
8	16	2410
8	17	3170
8	18	1690
8	19	2250
8	20	3010
8	21	3770
8	22	2190
8	23	3660
8	24	2800
8	25	1265
8	26	1815
8	27	2165
8	28	2565
8	29	4420
8	30	2890
8	31	3450
8	32	4310
8	33	3215
8	34	2110
8	35	1370
8	36	1825
8	37	2610
8	38	2365
8	39	1120
8	40	1420
8	41	1770
8	42	2290
8	43	2840
8	44	3590
8	45	4060
8	46	3110
8	47	4010
8	48	3310
8	49	3025
8	50	2625
8	51	2915
8	52	2520
8	53	4060
8	100	2470
8	104	2770
8	107	3220
8	111	3320
8	101	3760
8	103	4010
8	106	4260
8	108	4460
8	102	2915
8	105	3065
8	109	3315
8	110	3465
8	114	3470
8	112	3615
8	118	3865
8	119	4810
8	113	3470
8	120	3670
8	137	3820
8	115	1975
8	116	2125
8	117	2275
8	121	2475
8	134	2525
8	122	6660
8	129	5815
8	123	5270
8	132	5420
8	136	5760
8	124	3160
8	127	4410
8	125	4720
8	131	5510
8	133	4520
8	126	5865
8	128	5470
8	135	5510
8	130	6760
8	138	3965
8	139	6360
8	140	4110
8	141	6960
8	142	4010
8	143	5910
8	144	6025
8	145	4135
8	146	6910
8	147	5570
8	148	5275
8	149	5775
8	150	6170
8	151	6020
8	152	3960
8	153	5535
8	154	4285
8	155	4820
8	156	4085
8	157	6160
8	158	4265
8	159	4660
8	160	4180
8	161	6310
8	162	4030
8	163	4370
8	164	3980
8	165	6020
8	166	6660
8	167	3775
8	168	6670
8	169	3920
8	170	4510
8	171	3285
8	172	6010
8	173	4975
8	174	4520
8	175	5265
8	176	4320
8	177	7260
8	178	5025
8	179	5520
8	180	5470
8	181	5010
8	182	4565
8	183	4020
8	184	5020
8	185	4695
8	186	4215
8	187	5060
8	188	3460
8	189	5070
8	190	5470
8	191	7520
8	192	3870
8	193	4775
8	194	5675
8	195	5520
8	196	4485
8	197	4235
8	198	3860
8	199	1385
8	200	1535
8	201	2110
8	202	2635
8	203	5525
9	0	535
9	1	1320
9	2	280
9	3	1030
9	4	530
9	5	385
9	6	735
9	7	780
9	8	920
9	9	1120
9	10	325
9	11	525
9	12	725
9	13	925
9	14	1275
9	15	1710
9	16	2010
9	17	2720
9	18	1540
9	19	2000
9	20	2460
9	21	3270
9	22	1990
9	23	3060
9	24	2450
9	25	1065
9	26	1315
9	27	1565
9	28	1965
9	29	3920
9	30	2790
9	31	3100
9	32	3710
9	33	2615
9	34	1660
9	35	1270
9	36	1625
9	37	2060
9	38	1765
9	39	820
9	40	1120
9	41	1420
9	42	1890
9	43	2490
9	44	2640
9	45	3710
9	46	2910
9	47	3310
9	48	2560
9	49	2675
9	50	2325
9	51	2315
9	52	2220
9	53	4060
9	100	2520
9	104	2670
9	107	2970
9	111	3120
9	101	3460
9	103	3560
9	106	3710
9	108	4010
9	102	2365
9	105	2515
9	109	2665
9	110	2815
9	114	3370
9	119	4060
9	112	2765
9	118	2615
9	113	2520
9	120	2720
9	137	2970
9	115	2275
9	116	2375
9	117	2475
9	121	2575
9	134	2675
9	122	4220
9	123	3510
9	124	4665
9	125	3770
9	126	4715
9	127	5310
9	128	4610
9	129	4370
9	130	5410
9	131	4410
9	132	4320
